07-2-02053,1-2015,D5ANA,523
07-2-02213,1-2015,D2ANA,0119
07-2-02213,1-2015,D8ANA,0393
07-2-02213,1-2015,D9ANA,0394
07-2-02213,1-2015,D3GNA,0524
08-1-02259,1-2015,D9ANA,0394
08-1-02338,1-2015,D10ANA,0142
08-1-02369,1-2015,D3GNA,0524
08-1-02401,1-2015,D5ANA,0084
08-1-02401,1-2015,D3DNA,0549
08-1-02413,1-2015,D3ANA,0021
08-1-02413,1-2015,D3ANA,0121
08-1-02413,1-2015,D3ANA,0148
08-1-02413,1-2015,D3ANA,0222
08-1-02413,1-2015,D3ANA,0523
08-1-02413,1-2015,D3ANA,0524
08-1-02413,1-2015,D3ANA,0549
08-1-02417,1-2015,D2ANA,0119
08-1-02417,1-2015,D2ANA,0278
08-1-02417,1-2015,D2ANA,0381
08-1-02417,1-2015,D2ANA,0557
08-1-02417,1-2015,D2ANA,446
08-1-02435,1-2015,D8ANA,0070
08-1-02443,1-2015,D3BNA,0524
08-1-02443,1-2015,D4ANA,522
08-1-02470,1-2015,D4ANA,0083
08-1-02470,1-2015,D4ANA,0095
08-1-02470,1-2015,D4ANA,0123
08-1-02470,1-2015,D4ANA,0389
08-1-02470,1-2015,D4ANA,522
08-1-02475,1-2015,D5GNA,0185
08-1-02475,1-2015,D9ANA,0394
08-1-02478,1-2015,D5ANA,0133
08-1-02478,1-2015,D3ANA,0549
08-1-02478,1-2015,D9ANA,0576
08-1-02478,1-2015,D5BNA,523
08-1-02572,1-2015,D2ANA,0043
08-1-02572,1-2015,D2ANA,0381
08-1-02572,1-2015,D8ANA,0393
08-1-02572,1-2015,D9ANA,0394
08-1-02572,1-2015,D5BNA,523
08-1-02641,1-2015,D5BNA,0084
08-1-02641,1-2015,D5BNA,0125
08-1-02641,1-2015,D5BNA,0133
08-1-02641,1-2015,D5BNA,0185
08-1-02641,1-2015,D5BNA,523
08-1-02695,1-2015,D10ANA,0142
08-1-02695,1-2015,D10ANA,531
08-1-02705,1-2015,D8ANA,0070
08-1-02705,1-2015,D8ANA,0136
08-1-02705,1-2015,D8ANA,0141
08-1-02705,1-2015,D8ANA,0274
08-1-02705,1-2015,D8ANA,0393
08-1-02705,1-2015,D8ANA,525
08-1-02705,1-2015,D8ANA,526
08-1-02708,1-2015,D10ANA,0074
08-1-02708,1-2015,D10ANA,0142
08-1-02708,1-2015,D10ANA,0579
08-1-02708,1-2015,D10ANA,0658
08-1-02708,1-2015,D10ANA,0659
08-1-02708,1-2015,D10ANA,529
08-1-02708,1-2015,D10ANA,530
08-1-02708,1-2015,D10ANA,531
08-1-02746,1-2015,D4GNA,0083
08-1-02746,1-2015,D4GNA,0095
08-1-02746,1-2015,D4GNA,0123
08-1-02746,1-2015,D4GNA,0389
08-1-02746,1-2015,D4GNA,522
08-1-02772,1-2015,D4ANA,0123
08-1-02772,1-2015,D1ANA,0437
08-1-02772,1-2015,D2ANA,0557
08-1-02772,1-2015,D4ANA,522
08-1-02772,1-2015,D5GNA,523
08-1-02794,1-2015,D4GNA,0095
08-1-02794,1-2015,D4GNA,0389
08-1-02794,1-2015,D4GNA,522
08-1-02821,1-2015,D9ANA,0102
08-1-02821,1-2015,D3GNA,0524
08-1-02945,1-2015,D10ANA,0074
08-1-02945,1-2015,D10ANA,0142
08-1-02945,1-2015,D10ANA,0579
08-1-02945,1-2015,D10ANA,0658
08-1-02945,1-2015,D10ANA,0659
08-1-02945,1-2015,D10ANA,529
08-1-02945,1-2015,D10ANA,530
08-1-02945,1-2015,D10ANA,531
08-2-03119,1-2015,D7ANA,0109
08-2-03119,1-2015,D7ANA,0135
08-2-03119,1-2015,D7ANA,0140
08-2-03119,1-2015,D7ANA,535
08-2-03125,1-2015,D7ANA,0087
08-2-03125,1-2015,D9ANA,0394
08-2-03186,1-2015,D9ANA,0394
08-2-03249,1-2015,D8ANA,0070
08-2-03249,1-2015,D8ANA,0136
08-2-03249,1-2015,D8ANA,0141
08-2-03249,1-2015,D8ANA,0274
08-2-03249,1-2015,D8ANA,0393
08-2-03249,1-2015,D8ANA,525
08-2-03249,1-2015,D8ANA,526
08-2-03259,1-2015,D3GNA,0549
08-2-03390,1-2015,D7ANA,0087
08-2-03390,1-2015,D7ANA,0109
08-2-03390,1-2015,D7ANA,0135
08-2-03390,1-2015,D7ANA,0140
08-2-03390,1-2015,D7ANA,535
09-1-03608,1-2015,D10ANA,0074
09-1-03608,1-2015,D10ANA,0142
09-1-03608,1-2015,D10ANA,0579
09-1-03608,1-2015,D10ANA,0658
09-1-03608,1-2015,D10ANA,0659
09-1-03608,1-2015,D10ANA,529
09-1-03608,1-2015,D10ANA,530
09-1-03608,1-2015,D10ANA,531
09-1-03637,1-2015,D5BNA,0084
09-1-03637,1-2015,D3ANA,0121
09-1-03637,1-2015,D1BNA,0353
09-1-03637,1-2015,D1BNA,0437
09-1-03647,1-2015,D9GNA,0071
09-1-03647,1-2015,D9GNA,0102
09-1-03647,1-2015,D9GNA,0129
09-1-03647,1-2015,D9GNA,0275
09-1-03647,1-2015,D9GNA,0394
09-1-03647,1-2015,D9GNA,0576
09-1-03647,1-2015,D9GNA,0627
09-1-03647,1-2015,D9GNA,0628
09-1-03647,1-2015,D9GNA,527
09-1-03649,1-2015,D9GNA,0129
09-1-03649,1-2015,D6GNA,0139
09-1-03649,1-2015,D7ANA,0140
09-1-03649,1-2015,D2ANA,0557
09-1-03654,1-2015,D10ANA,0142
09-1-03654,1-2015,D10ANA,0579
09-1-03654,1-2015,D10ANA,0658
09-1-03654,1-2015,D10ANA,0659
09-1-03654,1-2015,D10ANA,529
09-1-03654,1-2015,D10ANA,531
09-1-03762,1-2015,D9ANA,0394
09-1-03770,1-2015,D1BNA,0077
09-1-03770,1-2015,D6ANA,0134
09-1-03873,1-2015,D7ANA,0087
09-1-03873,1-2015,D7ANA,0109
09-1-03873,1-2015,D7ANA,0135
09-1-03873,1-2015,D7ANA,0140
09-1-03873,1-2015,D7ANA,535
09-1-03879,1-2015,D8ANA,0070
09-1-03879,1-2015,D9ANA,0394
09-1-03884,1-2015,D6ANA,0108
09-1-03884,1-2015,D6ANA,0134
09-1-03884,1-2015,D9ANA,0394
09-1-03889,1-2015,D5ANA,0084
09-1-03889,1-2015,D5ANA,0133
